Title,URL,Advertiser,Location,Listing Date,Short Description
CONTRACT - QA Automation Engineer - Ruby - Cucumber - Agile - API - Melbourne,https://www.seek.com.au/jobs/job/36366411?type=standout,Real Time Australia P/L,Melbourne,23d ago,"Automation Test Engineers - API Testing, Ruby, Cucumber, Agile, Long Rolling Contract, Melbourne CBD"
"JavaScript Developer - Node.js, React, Redux, TDD | Predictive Analytics & AI",https://www.seek.com.au/jobs/job/36542237?type=standard,Affix Group,Melbourne,16h ago,"Brand new product team. Awesome engineering practices, 80% greenfield builds, Machine Learning and true data driven projects."
Agile Ember/Ruby Developer,https://www.seek.com.au/jobs/job/36378282?type=standout,Naviro,Sydney,22d ago,Join One of Australia's Technology Success Stories And Take An Active Role In Defining Your Career Through Structured Software Development.
"Multiple FRONT END UI Developer Roles: Javascript, Angular 4/5, ReactJS, NodeJS",https://www.seek.com.au/jobs/job/36542095?type=standard,Sydney,"CBD, Inner West & Eastern Suburbs",18h ago,"Interesting work that will push and develop your Javascript skills! Single Page Apps, Angular 2/4/5, ReactJS, HTML5, CSS3. Multiple roles in Sydney"
Ruby on Rails Developer,https://www.seek.com.au/jobs/job/36372101?type=standard,Redwolf + Rosch,Melbourne,23d ago,Take ownership whilst solving complex problems.
Ruby Test Analyst,https://www.seek.com.au/jobs/job/36363836?type=standout,Altitude Recruitment,Melbourne,23d ago,Altitude is seeking an experienced Ruby Tester for a contract role in Melbourne CBD.
Senior C# Engineer - Performance Optimisation,https://www.seek.com.au/jobs/job/36541882?type=standard,Greythorn,Melbourne,19h ago,"Are you a Performance Software Engineer passionate coding, build, deployment, and performance? APPLY NOW!!"
Full-stack Rails Engineer,https://www.seek.com.au/jobs/job/36541877?type=standard,Greythorn,Melbourne,19h ago,Looking for a budding Software Engineer who wants to learn different languages and frameworks??
Senior Developer - NetEngine,https://www.seek.com.au/jobs/job/36448013?type=standard,Employment Office,Brisbane,12d ago,"Opportunity for experienced Developer (Ruby on Rails, JS, React Native, or Node) to join an agile company. Great diversity in projects &amp; clients!"
DevOps Platform Engineer,https://www.seek.com.au/jobs/job/36531722?type=standout,CHOICE,Sydney,2d ago,"Explore emerging technologies and platforms to deliver new, scalable products that add value and encourage subscriber loyalty and engagement."
Software Developer - Scout Talent - Melbourne,https://www.seek.com.au/jobs/job/36440645?type=standard,Employment Office,Brisbane,13d ago,Exciting opportunity for a back-end developer (Ruby on Rails) to join our team! Design &amp; build solutions for our amazing clients. Great org. culture!
Front End Architect (React),https://www.seek.com.au/jobs/job/36539952?type=standout,Lookahead Search,Sydney,1d ago,Sydney | Scale and improve our architecture. Help drive technical direction for our platform. Work with JavaScript and React.
Devops Engineer,https://www.seek.com.au/jobs/job/36539533?type=standard,Pactera Technology Australia Pty Ltd,Sydney,1d ago,We are seeking experienced DevOps Engineers for upcoming and future roles.
Cloud Native Architect,https://www.seek.com.au/jobs/job/36539174?type=standard,Continuum Recruitment,Sydney,1d ago,"Cloud Native Architect - Sydney - Build highly scalable, cloud native applications on Cloud platform utilizing core developer services."
"Senior Software Engineer (Big Data, SQL, T-SQL, NoSQL.SSRS)",https://www.seek.com.au/jobs/job/36537596?type=standard,Sirius Technology Sydney part of Sirius People Pty Ltd,Sydney,2d ago,"Senior Software Engineer (Big Data, SQL, T-SQL, NoSQL, SSRS, AWS, C++, Angular 6, Java, Python, Node.js) - Circa $140k - Sydney CBD - Software House"
Cloud Engineer - COG 796770,https://www.seek.com.au/jobs/job/36537313?type=standout,Macquarie Group Limited,Sydney,2d ago,Take on a fantastic opportunity for you to become an expert in cloud technologies.
Senior Full Stack Engineer,https://www.seek.com.au/jobs/job/36535964?type=standard,ShiftyJelly Pty Ltd,Adelaide,2d ago,The Pocket Casts team is looking for an experienced full stack engineer to join our team.
Lead Developer,https://www.seek.com.au/jobs/job/36535549?type=standard,AC3 Pty Limited,Sydney,2d ago,Be a Lead System Developer working on a mix of strategic projects and BAU activities to keep the lights on for the legacy systems.
Senior Software Engineer - Award Winning US Tech Firm - Sydney,https://www.seek.com.au/jobs/job/36535607?type=standout,The Argyle Network,Sydney,2d ago,"A Snr SOA Engineer with experience working with Low-Latency systems is required by this new-to-Sydney, Real-Time Data Exchange Solutions Provider"
Software Engineer - Fintech,https://www.seek.com.au/jobs/job/36530679?type=standout,IRESS Limited,Sydney,2d ago,"We are looking for several Software Engineers to build our award winning, global financial planning product XPLAN during an exciting period of growth."
Graduate DevOps Engineer,https://www.seek.com.au/jobs/job/36529834?type=standard,Revolution IT,Sydney,2d ago,Join one of Revolution IT's newest Graduate programs to kick-start your highly successful career as a Graduate DevOps Engineer
Graduate Software Engineer in Test,https://www.seek.com.au/jobs/job/36529784?type=standard,Revolution IT,Sydney,2d ago,Join one of Australia's fastest growing technology companies in 2017 (CRN FAST50 AWARDS) as a Graduate/Junior Software Engineer in Test!
Oracle eBusiness Technical Consultant,https://www.seek.com.au/jobs/job/36490939?type=standard,The Ruby Group,Perth,6d ago,Permanent Opportunity with National Oracle Gold Partner. eBusiness Suite 12. CBD Location. Great Career Progression Opportunity.
AWS Certified DevOps Engineer - Ansible/Docker/AWS,https://www.seek.com.au/jobs/job/36529161?type=standard,Naviro,Sydney,2d ago,Large scale AWS migration of Blue Chip enterprise clients from physical to cloud. AWS certs are needed and its an opportunity to progress to architect
