Title,URL,Advertiser,Location,Listing Date,Short Description
Web Developer (PHP),https://www.seek.com.au/jobs/job/36536225?type=standard,Robert Walters,"Newcastle, Maitland & Hunter",2d ago,An exciting opportunity for a PHP Web Developer to grow your skills in one of Australia's fastest growing companies with recognized global clients.
Software Engineer,https://www.seek.com.au/jobs/job/36535867?type=standard,Greythorn,Sydney,2d ago,Software Engineer - Scala + Big Data
Lead Developer,https://www.seek.com.au/jobs/job/36535549?type=standard,AC3 Pty Limited,Sydney,2d ago,Be a Lead System Developer working on a mix of strategic projects and BAU activities to keep the lights on for the legacy systems.
"WalkIn Drive at Sydney and Melbourne for DataStage, Infra Security and Splunk",https://www.seek.com.au/jobs/job/36534312?type=standard,Ampstek Australia Pty Ltd,Sydney,2d ago,"DataStage, Infrastructure Security and Splunk"
Systems Engineer - Linux,https://www.seek.com.au/jobs/job/36534348?type=standard,Clicks IT Recruitment,Melbourne,2d ago,Seeking an experienced Systems Engineer with strong Linux background. International travel is required.  
Senior Mobile Application Developer,https://www.seek.com.au/jobs/job/36533920?type=standard,The Citadel Group,ACT,2d ago,We require a Senior Mobile Application Developer for a twelve month contract with a large Federal Government department in Canberra. Apply now!
Technical Lead,https://www.seek.com.au/jobs/job/36533799?type=standout,Interactiveinc  PTY LTD,Sydney,2d ago,Technical Lead - Drupal - Award winning Agency - $130K
.NET FULL STACK DEVELOPER - FRONT END FOCUS,https://www.seek.com.au/jobs/job/36533596?type=standard,ecareer employment services,Sydney,2d ago,Front end oriented full stack developer to build and enhance leading consumer website. CBD Based 
Drupal Developer - Contract,https://www.seek.com.au/jobs/job/36533398?type=standout,Bauer Media Group,Sydney,2d ago,8 week contract approx. with an immediate start!
Senior Java Developer,https://www.seek.com.au/jobs/job/36533322?type=standard,Finite IT Recruitment Solutions,Melbourne,2d ago,"Senior Java DeveloperMust have a strong Secruirty vulnerabilities and secure coding background. Leading international financial services company "
DevOps Engineer,https://www.seek.com.au/jobs/job/36533214?type=standard,Paxus Australia Pty Ltd,Melbourne,2d ago,A DevOps engineer is urgently required to enable multiple dev teams with 100% automated deployment / DevOps.
